profile,asin,brand,title,price,availability,cpu,ram_gb,rom_gb,gpu,gpu_class,has_dgpu,size_inch,resolution,refresh_rate_hz,panel_type,has_usb_c,usb_c_power_delivery_w,os_family,os_version,soc,soc_score,display_size_inch,battery_life_hours,battery_capacity_mah,weight_g,has_cellular,detail_url
tablet,B0DZ7WF87P,Apple(アップル),Apple 11 インチ iPad (A16): 11 インチモデル、Liquid Retina ディスプレイ、128GB、Wi-Fi 6、12MP フロント/12MP バックカメラ、Touch ID、一日中使えるバ ッテリー - シルバー,56364,IN_STOCK,,,128,,,,,,,,,,ipad,,Apple A16,25,11.0,,,,False,https://www.amazon.co.jp/dp/B0DZ7WF87P?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
tablet,B0DZ8HV6RT,Apple(アップル),Apple 11 インチ iPad (A16): 11 インチモデル、Liquid Retina ディスプレイ、128GB、Wi-Fi 6、12MP フロント/12MP バックカメラ、Touch ID、一日中使えるバ ッテリー - イエロー,58315,IN_STOCK,,,128,,,,,,,,,,ipad,,Apple A16,25,11.0,,,,False,https://www.amazon.co.jp/dp/B0DZ8HV6RT?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
tablet,B0DZ8J8TR2,Apple(アップル),Apple 11 インチ iPad (A16): 11 インチモデル、Liquid Retina ディスプレイ、128GB、Wi-Fi 6、12MP フロント/12MP バックカメラ、Touch ID、一日中使えるバ ッテリー - ピンク,56364,IN_STOCK,,,128,,,,,,,,,,ipad,,Apple A16,25,11.0,,,,False,https://www.amazon.co.jp/dp/B0DZ8J8TR2?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
tablet,B0GQW8NNNS,Apple(アップル),Apple 11インチiPad Air（M4）：Liquid Retinaディスプレイ、128GB、12MPフロント/バックカメラ、Apple N1によるWi-Fi 7 + 5Gモバイル通信、Touch ID、一日中使えるバッテリー — パープル,124800,IN_STOCK_SCARCE,,,128,,,,,,,,,,ipad,,Apple M4,35,11.0,,,,True,https://www.amazon.co.jp/dp/B0GQW8NNNS?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
tablet,B0DZ84FKKP,Apple(アップル),Apple 11 インチ iPad Air (M3): Apple Intelligence のために設計、Liquid Retina ディスプレイ、128GB、12MP フロント/バックカメラ、Wi-Fi 6E + 5G 携帯電話通信、 Touch ID、一日中使えるバッテリー,124801,IN_STOCK,,,128,,,,,,,,,,ipad,,Apple M3,33,11.0,,,,True,https://www.amazon.co.jp/dp/B0DZ84FKKP?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
tablet,B0F9P1B6R4,xiaomi(シャオミ),シャオミ(Xiaomi) タブレット Redmi Pad 2 4GB+128GB ラベンダーパープル wi-fiモデル 2.5K 大型11インチディスプレ Dolby Atmos対応 9000mAh 大容量 バッテリー 高性能チップHelio G100-Ultra 2TBまでmi,27980,IN_STOCK,,4,128,,,,,,90,,,,android,,Helio G100,16,11.0,,9000,,False,https://www.amazon.co.jp/dp/B0F9P1B6R4?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
tablet,B0GQWSBMQ1,Apple(アップル),Apple 11インチiPad Air（M4）：Liquid Retinaディスプレイ、128GB、12MPフロント/バックカメラ、Apple N1によるWi-Fi 7、Touch ID、一日中使えるバッテリー — ブルー,98800,IN_STOCK,,,128,,,,,,,,,,ipad,,Apple M4,35,11.0,,,,False,https://www.amazon.co.jp/dp/B0GQWSBMQ1?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
tablet,B0GQW2J67Z,Apple(アップル),Apple 11インチiPad Air（M4）：Liquid Retinaディスプレイ、256GB、12MPフロント/バックカメラ、Apple N1によるWi-Fi 7、Touch ID、一日中使えるバッテリー — スターライト,109899,IN_STOCK,,,256,,,,,,,,,,ipad,,Apple M4,35,11.0,,,,False,https://www.amazon.co.jp/dp/B0GQW2J67Z?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
tablet,B0GQWKSTGS,Apple(アップル),Apple 11インチiPad Air（M4）：Liquid Retinaディスプレイ、512GB、12MPフロント/バックカメラ、Apple N1によるWi-Fi 7、Touch ID、一日中使えるバッテリー — スペースグレイ,150800,IN_STOCK,,,512,,,,,,,,,,ipad,,Apple M4,35,11.0,,,,False,https://www.amazon.co.jp/dp/B0GQWKSTGS?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
tablet,B0DK467P86,Apple(アップル),Apple iPad mini(A17 Pro):Apple Intelligence、8.3 インチ Liquid Retina ディスプレ イ、128GB、Wi-Fi 6E、12MP フロントカメラ/12MP バックカメ ラ、Touch ID、一日中使えるバッテリー ‒ スペ,78800,IN_STOCK,,,128,,,,,,,,,,ipad,,Apple A17 Pro,29,8.3,,,,False,https://www.amazon.co.jp/dp/B0DK467P86?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
tablet,B0DK43L4K3,Apple(アップル),Apple iPad mini(A17 Pro):Apple Intelligence、8.3 インチ Liquid Retina ディスプレ イ、128GB、Wi-Fi 6E、12MP フロントカメラ/12MP バックカメ ラ、Touch ID、一日中使えるバッテリー ‒ パー,78149,IN_STOCK,,,128,,,,,,,,,,ipad,,Apple A17 Pro,29,8.3,,,,False,https://www.amazon.co.jp/dp/B0DK43L4K3?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
tablet,B0DK44CJ9K,Apple(アップル),Apple iPad mini(A17 Pro):Apple Intelligence、8.3 インチ Liquid Retina ディスプレ イ、128GB、Wi-Fi 6E、12MP フロントカメラ/12MP バックカメ ラ、Touch ID、一日中使えるバッテリー ‒ ブル,78149,IN_STOCK,,,128,,,,,,,,,,ipad,,Apple A17 Pro,29,8.3,,,,False,https://www.amazon.co.jp/dp/B0DK44CJ9K?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
tablet,B0F9P19S1B,xiaomi(シャオミ),シャオミ(Xiaomi) タブレット Redmi Pad 2 4GB+128GB ミントグリーン wi-fiモデル 2.5K 大型11インチディスプレ Dolby Atmos対応 9000mAh 大容量 バッテリー 高性能チップHelio G100-Ultra 2TBまでmicr,27980,IN_STOCK,,4,128,,,,,,90,,,,android,,Helio G100,16,11.0,,9000,,False,https://www.amazon.co.jp/dp/B0F9P19S1B?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
tablet,B0D2K5YP66,ALLDOCUBE,ALLDOCUBE iPlay60 mini Pro 8.4インチタブレット Android15 顔認証 4GLTE デュアルスピーカー 6軸ジャイロ HelioG99 16GB+128GB+512GB拡張 1920×1200FHD WidevineL1 6050mAh PD18,22999,IN_STOCK,,16,128,,,,,1920x1200,,,,,android,15,Helio G99,15,8.4,,6050,,True,https://www.amazon.co.jp/dp/B0D2K5YP66?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
tablet,B0F4JR2QDK,ALLDOCUBE,ALLDOCUBE iPlay 70 mini Pro タブレット8.4インチ MediaTek Dimensity MT8791 タブレット Android 15 90Hz高リフレッシュレート 4GLTE 1920×1200解像度 16GB+128GB 6050mAh PD18,28999,IN_STOCK_SCARCE,,8,128,,,,,1920x1200,90,,,,android,15,Helio G99,15,8.4,15,6050,,True,https://www.amazon.co.jp/dp/B0F4JR2QDK?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
tablet,B0D2K2F5PK,ALLDOCUBE,ALLDOCUBE iPlay60mini Pro 8.4インチタブレット 顔認識 4GLTE デュアルスピーカー WidevineL1 Android15タブレット 6軸ジャイロ 1920×1200FHDディスプレイ 16GB(8+8仮想) +128GB+512GB拡張 605,22999,IN_STOCK,,8,128,,,,,1920x1200,,,,,android,15,Helio G99,15,8.4,,6050,,True,https://www.amazon.co.jp/dp/B0D2K2F5PK?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
tablet,B0G338K9WJ,Headwolf,Headwolf タブレット ８インチ Android 15 SIMフリー - FPad7 tablet MT8791T 2560x1600解像度 16(8+8拡張)GB LPDDR5 256GB UFS 3.1 6軸ジャイロ 6500mAh PD18W急速充電 4G通信 WiF,26996,IN_STOCK,,8,256,,,,,2560x1600,,,,,android,15,Dimensity 7050,20,8.0,8,6500,,True,https://www.amazon.co.jp/dp/B0G338K9WJ?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
tablet,B09FKYRD22,TECLAST,TECLAST P50 タブレット11インチ wi-fiモデル Android 16GB+128GB+1TB拡張 アンドロイド 14 タブレット 11インチ 90Hz 1280*800 IPS 大画面+8000mAh+Widevine L1+8コアCPU T606 +BT5.0+,19932,IN_STOCK,,10,128,,,,,1280x800,90,,,,android,16,Unisoc T606,8,11.0,11,8000,,False,https://www.amazon.co.jp/dp/B09FKYRD22?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
tablet,B0F9NM1GZJ,BekoQurd,BekoQurd M11 タブレット 11インチ Android、12GB RAM 128GB ROM、Helio G99 プロセッサ、90Hz IPS液晶、8100mAhバッテリー、4スピーカー、Widevine L1認証、GMS認証、20W急速充電、仕事 ゲーム 動画視聴に最,18999,IN_STOCK_SCARCE,,12,128,,,,,1920x1200,90,,,,android,,Helio G99,15,11.0,,8100,513,False,https://www.amazon.co.jp/dp/B0F9NM1GZJ?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
tablet,B0GJ3S68KD,Headwolf,Android 16 タブレット 11インチ Wi-Fiモデル Headwolf WPad7、In-Cell 1920x1200 FHD、8000mAh、8コアCPU T615、24GB(4+20拡張)RAM+128GB ROM、Widevine L1対応、5MP/13MP、2.,17999,IN_STOCK,,20,128,,,,,1920x1200,,,,,android,16,Unisoc T615,9,11.0,,8000,619,False,https://www.amazon.co.jp/dp/B0GJ3S68KD?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
tablet,B0D8VM6G33,Lenovo,Lenovo Tablet M11、11インチ WUXGA (1920x1200) IPS、指紋防止、タッチスクリーン、4GB、128GB eMMC、Android 13 Tab Pen,72201,LEADTIME,,4,128,,,,,1920x1200,,,,,android,13,Helio G88,11,11.0,,,,False,https://www.amazon.co.jp/dp/B0D8VM6G33?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
tablet,B0D6YTCF7Z,Lenovo,Lenovo Tab K11 TB330XU タブレット - 11インチ WUXGA - MediaTek MT6769H Helio G88 (12 nm) オクタコア - 8GB - 128GB ストレージ - Android 13-4G - ルナグレー,50519,LEADTIME,,,128,,,,,1920x1200,,,,,android,13,Helio G88,11,11.0,10,,,False,https://www.amazon.co.jp/dp/B0D6YTCF7Z?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
tablet,B0CXDSJZZZ,Lenovo,Lenovo タブレット Tab B11 10.95インチ MediaTek Helio G88 Android13 重量465g LTE対応 Wi-Fi対応 ルナグレー ZADB0291JP,43800,AVAILABLE_DATE,,4,128,,,,,1920x1200,,,,,android,13,Helio G88,11,10.95,,,465,True,https://www.amazon.co.jp/dp/B0CXDSJZZZ?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
tablet,B0DBKLCMY2,Lenovo,Lenovo Tab Plus タブレット (11.5インチ ワイド パネル MediaTek Helio G99 プロセッサー 8GB 256GB Wi-Fiモデル) グレー ZADX0061JP 【AndroidOS】,41394,IN_STOCK,,8,256,,,,,2000x1200,,,,,android,14,Helio G99,15,11.5,,,,False,https://www.amazon.co.jp/dp/B0DBKLCMY2?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
tablet,B0FXBT9CYP,サムスン(SAMSUNG),Samsung Galaxy Tab A11+ Plus 2026 (128GB 6GB Wi-Fiのみ) 11インチ 90Hz Android 16 タブレット オールデイバッテリー オクタコア (4nm) 4スピーカー 国際モデル X230 | 高速充電キューブバンドル | ,53361,LEADTIME,,6,128,,,,,1920x1200,90,,,,android,16,Dimensity 7300,22,11.0,,7040,,False,https://www.amazon.co.jp/dp/B0FXBT9CYP?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
tablet,B0F9P4719Q,xiaomi(シャオミ),シャオミ(Xiaomi) タブレット Redmi Pad 2 4GB+128GB グラファイトグレー wi-fiモデル 2.5K 大型11インチディスプレ Dolby Atmos対応 9000mAh 大容量 バッテリー 高性能チップHelio G100-Ultra 2TBまでmi,27980,IN_STOCK,,4,128,,,,,,,,,,android,,Helio G100,16,11.0,,9000,,False,https://www.amazon.co.jp/dp/B0F9P4719Q?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
tablet,B0CJF6SCVL,xiaomi(シャオミ),Xiaomi Redmi Pad SE タブレット 6GB + 128GB Wi-fi版 日本語対応 11インチ FHD+ アイケア ディスプレイ 90Hz高精細 8000mAh 大容量バッテリー 軽量ボディ Snapdragon 680 MIUI 14 Android 13 D,37800,IN_STOCK_SCARCE,,4,128,,,,,,90,,,,android,13,Snapdragon 680,12,11.0,19,8000,478,False,https://www.amazon.co.jp/dp/B0CJF6SCVL?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
tablet,B0GKFHK6XN,ALLDOCUBE,ALLDOCUBE iPlay70 Pad Pro タブレット12インチ Android16 2560x1600解像度 90Hz 10000mAh PD33W Helio G100 16GB+128GB 4スピーカー WidevineL1 PCモード 顔認証 GPS 電子コンパス,29999,IN_STOCK,,16,128,,,,,2560x1600,90,,,,android,16,Helio G100,16,12.0,,10000,,True,https://www.amazon.co.jp/dp/B0GKFHK6XN?tag=nmsuteado2-22&linkCode=osi&th=1&psc=1
